#! FIELDS d_abs file.free der_d_abs
#! SET min_d_abs -0.707107
#! SET max_d_abs 6.07157
#! SET nbins_d_abs  97
#! SET periodic_d_abs false
   -0.707107000  623.501148549   -0.000000000
   -0.636495781  621.755794357  -43.136389684
   -0.565884563  616.546889875 -113.683857080
   -0.495273344  603.938789307 -259.151517221
   -0.424662125  577.403847105 -511.966554796
   -0.354050906  528.998641677 -874.427749782
   -0.283439688  452.833674252 -1279.595887562
   -0.212828469  350.705999579 -1581.197085717
   -0.142217250  235.902270926 -1615.128665273
   -0.071606031  130.870065349 -1304.612361885
   -0.000994813   57.730435595 -741.561657883
    0.069616406   26.636976084 -157.287238313
    0.140227625   30.540978672  220.801995539
    0.210838844   50.855993524  309.420621368
    0.281450062   69.413922354  196.072558772
    0.352061281   77.645445468   42.341350969
    0.422672500   77.152385851  -40.649833881
    0.493283719   73.865524070  -42.183676841
    0.563894937   71.947677956  -11.869749280
    0.634506156   71.793666423    3.237588843
    0.705117375   71.829494978   -5.072025795
    0.775728594   70.326335669  -25.426423372
    0.846339812   68.487577543  -24.868110194
    0.916951031   67.028747237  -15.694587248
    0.987562250   66.234412657   -8.237632526
    1.058173469   65.583920018  -12.839366682
    1.128784687   64.093933202  -30.702488662
    1.199395906   61.207850563  -50.602042421
    1.270007125   57.161572423  -61.784157368
    1.340618344   52.872373542  -57.292956147
    1.411229562   49.374845954  -40.198459174
    1.481840781   47.244699159  -20.602127993
    1.552452000   46.362971609   -5.875867026
    1.623063219   46.171286641   -0.926037762
    1.693674437   46.043393215   -3.116322244
    1.764285656   45.736853638   -5.118537565
    1.834896875   45.482278610   -1.017166332
    1.905508094   45.674544770    6.849011048
    1.976119312   46.413476213   12.991821122
    2.046730531   47.403813649   13.824652848
    2.117341750   48.146823146    5.817649034
    2.187952969   48.064654064   -9.059903814
    2.258564187   46.781383695  -27.157128534
    2.329175406   44.276193878  -43.068840684
    2.399786625   40.920219345  -50.648558729
    2.470397844   37.305767142  -50.713787709
    2.541009062   33.820286265  -47.613194692
    2.611620281   30.637693780  -42.432545344
    2.682231500   27.841418317  -36.469335896
    2.752842719   25.539312684  -28.754580933
    2.823453937   23.832480244  -19.475343900
    2.894065156   22.695971115  -13.418117144
    2.964676375   21.871905026  -11.258128681
    3.035287594   20.984354788  -14.205711744
    3.105898812   19.840732325  -17.597611458
    3.176510031   18.633353301  -15.355588098
    3.247121250   17.830131979   -6.256242307
    3.317732469   17.774857380    4.058662711
    3.388343687   18.235567995    7.508421406
    3.458954906   18.710364372    4.843431844
    3.529566125   18.807127763   -1.297454666
    3.600177344   18.712925915    0.195678138
    3.670788562   19.016967006    9.272783253
    3.741399781   19.943186966   15.214256824
    3.812011000   20.991219482   12.713336871
    3.882622219   21.472149164    0.100246033
    3.953233437   21.001304002  -12.364618228
    4.023844656   20.040702124  -13.295143137
    4.094455875   19.202067059   -7.368797002
    4.165067094   19.186028000    7.162595688
    4.235678312   20.230543004   22.795821840
    4.306289531   22.388027203   39.238705282
    4.376900750   25.878924340   61.156243456
    4.447511969   30.972212302   81.491034787
    4.518123187   36.858277485   79.890432429
    4.588734406   41.294443632   38.144573427
    4.659345625   41.339179871  -41.673254682
    4.729956844   35.048340937 -136.025191704
    4.800568063   22.794761382 -201.855304384
    4.871179281    8.541361092 -183.384330034
    4.941790500    0.000000000  -33.695183082
    5.012401719    7.253442264  261.204836569
    5.083012937   39.196584667  652.359793289
    5.153624156   99.280270259 1038.959257148
    5.224235375  183.273356428 1313.757870832
    5.294846594  280.352385802 1402.466640272
    5.365457812  376.780068723 1300.150853485
    5.436069031  460.762733200 1061.649703425
    5.506680250  525.391340900  768.812580159
    5.577291469  569.842947669  497.787331813
    5.647902687  597.126015547  287.116598173
    5.718513906  612.005336831  145.923428807
    5.789125125  619.121767686   65.184465825
    5.859736344  622.113469402   24.944485861
    5.930347562  623.173612372    7.879403031
    6.000958781  623.463911841    1.295624228
    6.071570000  623.501148498    0.012576447
