#! FIELDS d_abs file.free der_d_abs
#! SET min_d_abs -0.707107
#! SET max_d_abs 9.25456
#! SET nbins_d_abs  142
#! SET periodic_d_abs false
   -0.707107000  567.826320804   -0.000000000
   -0.636456879  566.127362915  -41.866097302
   -0.565806759  561.082096492 -110.077667506
   -0.495156638  548.866085767 -250.824619790
   -0.424506518  523.141242581 -496.566819924
   -0.353856397  476.165379835 -848.006070444
   -0.283206277  402.305983060 -1239.726393521
   -0.212556156  303.377754176 -1529.457319334
   -0.141906035  192.456786172 -1555.831359465
   -0.071255915   91.784460835 -1237.930977667
   -0.000605794   23.850287829 -656.923006908
    0.070044326    0.000000000  -31.850632306
    0.140694447   14.976495222  411.860986410
    0.211344567   51.424659496  573.335015712
    0.281994688   90.659079084  510.996709612
    0.352644809  121.631727203  363.000503233
    0.423294929  142.620335350  241.027383008
    0.493945050  157.202768778  181.773777724
    0.564595170  169.260314514  163.045734978
    0.635245291  180.285866724  147.227928885
    0.705895411  189.570043105  111.272771042
    0.776545532  194.822251909   44.988767628
    0.847195652  195.552231747  -26.457461182
    0.917845773  191.105103868  -97.924421154
    0.988495894  182.136868223 -151.689775893
    1.059146014  170.337826170 -177.698206408
    1.129796135  157.579972688 -180.832323756
    1.200446255  144.938065973 -177.198682924
    1.271096376  132.398230120 -178.865151178
    1.341746496  119.595159291 -182.952689373
    1.412396617  106.717333398 -179.546599709
    1.483046738   94.607581125 -160.004335507
    1.553696858   84.481888868 -125.285168782
    1.624346979   76.968470635  -88.617718835
    1.694997099   71.764910233  -60.473478994
    1.765647220   68.154950343  -43.331866688
    1.836297340   65.498531763  -32.318394464
    1.906947461   63.591377068  -21.093225618
    1.977597582   62.462303862  -11.995795066
    2.048247702   61.737161170  -10.080930928
    2.118897823   60.736275863  -20.439605284
    2.189547943   58.668522689  -38.521605887
    2.260198064   55.340178137  -54.963938022
    2.330848184   51.150871051  -62.154117652
    2.401498305   46.854293275  -57.419904228
    2.472148426   43.266168950  -42.544913119
    2.542798546   40.981784987  -21.679239944
    2.613448667   40.201520722   -0.852820093
    2.684098787   40.704827509   13.200540151
    2.754748908   41.727852739   13.655165898
    2.825399028   42.323787892    1.533224200
    2.896049149   41.858521257  -14.452937912
    2.966699270   40.383977127  -26.216308593
    3.037349390   38.382609923  -29.109671031
    3.107999511   36.461564012  -24.376570932
    3.178649631   34.980241310  -18.031462023
    3.249299752   33.854195120  -14.440271365
    3.319949872   32.871353959  -13.564485994
    3.390599993   31.886359714  -14.555770054
    3.461250113   30.926084029  -12.511629266
    3.531900234   30.137137017   -9.605561285
    3.602550355   29.625734602   -4.808347063
    3.673200475   29.447186587   -0.472999740
    3.743850596   29.539469091    2.545269071
    3.814500716   29.759353830    3.447576284
    3.885150837   29.960785088    2.120836449
    3.955800957   30.016457996   -0.594864491
    4.026451078   29.914967905   -2.288098060
    4.097101199   29.693594969   -4.013423892
    4.167751319   29.396061344   -3.859423630
    4.238401440   29.173992900   -2.194892479
    4.309051560   29.101451627   -0.176660819
    4.379701681   29.121565646    0.739975499
    4.450351801   29.157024863    0.135492622
    4.521001922   29.152426473    0.083442456
    4.591652043   29.200801322    1.790620489
    4.662302163   29.445928817    5.648905523
    4.732952284   30.005071323   10.231525284
    4.803602404   30.876912545   14.260649781
    4.874252525   32.024590109   17.511711011
    4.944902645   33.305823123   18.184509657
    5.015552766   34.547925734   16.530249611
    5.086202887   35.550148253   11.563852737
    5.156853007   36.154103531    5.427200202
    5.227503128   36.298180925   -0.997993845
    5.298153248   36.099350025   -3.793478483
    5.368803369   35.830577537   -3.104249614
    5.439453489   35.755964045    0.839970091
    5.510103610   35.915983267    3.217567247
